periodo,debt_to_gdp,netdebt_to_gdp,lt_share,ca_to_gdp,goods_to_gdp,priminc_to_gdp,infl_yoy,fx_dep_yoy,rate_mxn,rate_usd,st_share,usd_share,hhi_acreedores,hhi_fuentes,fiscal_to_gdp,debt_to_gdp_score,netdebt_to_gdp_score,lt_share_score,ca_to_gdp_score,goods_to_gdp_score,priminc_to_gdp_score,infl_yoy_score,fx_dep_yoy_score,rate_mxn_score,rate_usd_score,st_share_score,usd_share_score,hhi_acreedores_score,hhi_fuentes_score,fiscal_to_gdp_score,p_solvencia,p_externa,p_mercado,p_liquidez,p_fiscal
2002-01-01,0.10198794261091564,0.001481087507518511,0.9419804400977995,-0.004522302605792465,-0.0017853648057080682,-0.004967057442056929,4.75,,6.064491176470589,1.7333,0.058019559902200486,0.8756207288597659,0.3639931405416011,0.4125255606929721,-8.748502254646154e-07,50.0,36.95652173913043,3.260869565217391,27.173913043478258,45.65217391304348,46.73913043478261,33.152173913043484,,42.934782608695656,36.95652173913043,2.1739130434782594,19.565217391304344,96.73913043478261,91.30434782608697,75.0,30.07246376811594,39.85507246376812,37.68115942028985,52.44565217391305,75.0
2002-04-01,0.09293150916627019,-0.005547873994935706,0.9449518922386145,-0.0024226845316995724,-0.0017794493758177003,-0.002155169795921179,4.77,,6.064491176470589,1.75,0.0550481077613855,0.8711122514432328,0.3697444160671121,0.4063901564386803,3.820437938560746e-06,72.82608695652173,96.73913043478261,4.3478260869565215,48.91304347826087,46.73913043478261,88.04347826086956,30.978260869565222,,42.934782608695656,33.69565217391305,3.2608695652173947,20.65217391304348,92.3913043478261,95.65217391304348,90.21739130434783,57.971014492753625,61.23188405797101,35.869565217391305,52.98913043478261,90.21739130434783
2002-07-01,0.09790137319393884,0.0010295088058421323,0.9465211494340292,-0.0033649841499972847,-0.0019500599840394425,-0.0032725117815410026,5.25,,6.064491176470589,1.74,0.05347885056597077,0.8807557262552128,0.38086351167565274,0.4058033258837014,-1.3352745587434677e-06,63.04347826086957,44.565217391304344,5.434782608695652,41.30434782608695,42.391304347826086,71.73913043478261,21.739130434782606,,42.934782608695656,34.78260869565217,4.347826086956519,18.478260869565222,91.30434782608697,96.73913043478261,71.73913043478261,37.68115942028985,51.81159420289854,33.15217391304348,52.71739130434783,71.73913043478261
2002-10-01,0.09908838734780885,-0.0007618499143315071,0.964608383099821,-0.005062974499259378,-0.003946322713303589,-0.0026553518711875,5.34,,6.064491176470589,1.4433,0.035391616900179015,0.885635406080583,0.38266460667878943,0.4160301981208623,-1.09916918357961e-05,58.69565217391304,68.4782608695652,34.78260869565217,23.91304347826087,13.043478260869565,78.26086956521739,19.021739130434778,,42.934782608695656,40.21739130434783,33.69565217391305,17.391304347826086,88.04347826086956,89.13043478260869,17.391304347826086,53.98550724637681,38.405797101449274,34.05797101449276,57.065217391304344,17.391304347826086
2003-01-01,0.10936815795585064,0.0028770717816786963,0.9499465319067026,-0.002272659579917973,-0.00018333044369218642,-0.005558147032022609,5.44,0.18704120261151025,6.064491176470589,1.25,0.05005346809329724,0.8918869042890576,0.39493465154131024,0.41082194876890565,3.366498994089922e-06,43.47826086956522,22.826086956521742,9.782608695652174,51.08695652173913,79.34782608695652,31.521739130434785,17.391304347826086,9.090909090909093,42.934782608695656,43.47826086956522,8.695652173913048,15.217391304347828,79.34782608695652,94.56521739130434,89.13043478260869,25.362318840579714,53.98550724637681,28.223814229249015,49.45652173913044,89.13043478260869
2003-04-01,0.10144308104869226,-0.0026002926516935365,0.9491647540963135,-0.0006411532166993276,-0.002088538841478924,-0.0020759238994107546,4.74,0.10430199520474859,6.064491176470589,1.2467,0.05083524590368636,0.8910833847375637,0.4116343114893505,0.4334708991219155,4.319560926715326e-06,53.260869565217384,92.3913043478261,7.608695652173914,71.73913043478261,40.21739130434783,90.21739130434783,34.78260869565217,21.590909090909093,42.934782608695656,44.565217391304344,6.521739130434778,16.30434782608695,68.4782608695652,76.08695652173914,92.3913043478261,51.086956521739125,67.39130434782608,35.96837944664031,41.847826086956516,92.3913043478261
2003-07-01,0.10186884445222152,-0.0033444915278090094,0.9557984377000897,-0.00010847879012087998,-0.0018766310080979378,-0.0018883429613731574,4.07,0.08267879706848613,6.064491176470589,1.0167,0.04420156229991036,0.8940056345242668,0.4161623097424798,0.4432321511719824,-2.1403240290009426e-06,51.08695652173913,94.56521739130434,14.130434782608695,81.52173913043478,43.47826086956522,93.47826086956522,57.608695652173914,26.136363636363637,42.934782608695656,47.82608695652174,13.043478260869568,11.956521739130432,66.30434782608697,71.73913043478262,66.30434782608695,53.260869565217384,72.82608695652173,43.626482213438734,40.7608695652174,66.30434782608695
2003-10-01,0.10423050373078632,5.935414994128815e-06,0.9786417964276449,-0.0022989833107024986,-0.0033861989926707524,-0.002200576617698216,3.97,0.0999724647942728,6.064491176470589,0.9967,0.02135820357235506,0.8923864420077572,0.42957290966758893,0.45283282711121664,-1.0352522996590834e-05,48.91304347826087,58.69565217391304,70.65217391304348,50.0,18.478260869565215,84.78260869565217,63.04347826086957,23.863636363636363,42.934782608695656,51.08695652173913,69.56521739130434,14.130434782608692,61.95652173913043,64.13043478260869,22.82608695652174,59.42028985507246,51.086956521739125,45.23221343873518,52.44565217391304,22.82608695652174
2004-01-01,0.10172357602187605,0.0020296545808881333,0.9544827927276324,-0.0014701947464849676,-0.0006498269031899732,-0.00448474370269011,4.32,0.015021122008485932,6.064491176470589,1.0033,0.0455172072723676,0.8925539214777175,0.44632419320130123,0.4338973814268802,5.407463400146053e-06,52.17391304347826,33.69565217391305,13.043478260869565,63.04347826086957,73.91304347826086,54.347826086956516,45.652173913043484,51.13636363636363,42.934782608695656,50.0,11.956521739130432,13.043478260869568,56.52173913043479,73.91304347826086,95.65217391304348,32.971014492753625,63.76811594202898,47.430830039525695,38.85869565217391,95.65217391304348
2004-04-01,0.0991700076959014,-0.001425227979904778,0.9521413851029563,0.0013298788013490792,-0.0013837782872821395,-0.0016221219298898672,4.29,0.0890848572958911,6.064491176470589,1.01,0.0478586148970438,0.9068124522205536,0.45523875992778,0.4464026769593497,1.0284098543033813e-06,57.608695652173914,80.43478260869566,11.956521739130435,91.30434782608695,56.52173913043478,96.73913043478261,46.7391304347826,25.0,42.934782608695656,48.91304347826087,10.869565217391308,7.608695652173914,48.91304347826087,70.65217391304348,80.43478260869566,50.0,81.5217391304348,40.89673913043478,34.51086956521739,80.43478260869566
