periodo,debt_to_gdp,netdebt_to_gdp,lt_share,ca_to_gdp,goods_to_gdp,priminc_to_gdp,infl_yoy,fx_dep_yoy,rate_mxn,rate_usd,st_share,usd_share,hhi_acreedores,hhi_fuentes,fiscal_to_gdp,debt_to_gdp_score,netdebt_to_gdp_score,lt_share_score,ca_to_gdp_score,goods_to_gdp_score,priminc_to_gdp_score,infl_yoy_score,fx_dep_yoy_score,rate_mxn_score,rate_usd_score,st_share_score,usd_share_score,hhi_acreedores_score,hhi_fuentes_score,fiscal_to_gdp_score,p_solvencia,p_externa,p_mercado,p_liquidez,p_fiscal
2002-01-01,0.12996402010108332,0.00188736120830422,0.9419804400977996,-0.0057628050112218734,-0.002275104110904733,-0.006329559521613793,4.75,,6.064491176470589,1.7333,0.0580195599022005,0.8756207288597659,0.36399314054160126,0.4125255606929721,-1.1148283745803445e-06,47.82608695652174,36.95652173913043,3.260869565217391,23.91304347826087,42.391304347826086,28.26086956521739,33.152173913043484,,42.934782608695656,36.95652173913043,2.1739130434782594,19.565217391304344,96.73913043478261,91.30434782608697,73.91304347826086,29.34782608695652,31.52173913043478,37.68115942028985,52.44565217391305,73.91304347826086
2002-04-01,0.11648725620629045,-0.006954117341321009,0.9449518922386144,-0.003036772740300387,-0.0022304940187308853,-0.0027014499004461285,4.77,,6.064491176470589,1.75,0.0550481077613855,0.871112251443233,0.3697444160671122,0.4063901564386803,4.788820680541405e-06,64.13043478260869,96.73913043478261,4.3478260869565215,46.73913043478261,43.47826086956522,84.78260869565217,30.978260869565222,,42.934782608695656,33.69565217391305,3.2608695652173947,20.65217391304348,92.3913043478261,95.65217391304348,90.21739130434783,55.072463768115945,58.333333333333336,35.869565217391305,52.98913043478261,90.21739130434783
2002-07-01,0.11850363880871323,0.0012461575940944912,0.9465211494340292,-0.004073107999398428,-0.0023604286279637404,-0.003961175839574464,5.25,,6.064491176470589,1.74,0.053478850565970765,0.8807557262552128,0.38086351167565274,0.4058033258837014,-1.6162683817145507e-06,59.78260869565217,44.565217391304344,5.434782608695652,41.30434782608695,40.21739130434783,64.13043478260869,21.739130434782606,,42.934782608695656,34.78260869565217,4.347826086956519,18.478260869565222,91.30434782608697,96.73913043478261,71.73913043478261,36.594202898550726,48.55072463768116,33.15217391304348,52.71739130434783,71.73913043478261
2002-10-01,0.1176557274977238,-0.0009046065670654407,0.9646083830998209,-0.006011682740600768,-0.004685790961000965,-0.0031529159423131533,5.34,,6.064491176470589,1.4433,0.035391616900179015,0.8856354060805831,0.38266460667878943,0.4160301981208623,-1.3051332592910331e-05,60.86956521739131,69.56521739130434,34.78260869565217,21.73913043478261,11.956521739130435,80.43478260869566,19.021739130434778,,42.934782608695656,40.21739130434783,33.69565217391305,17.391304347826086,88.04347826086956,89.13043478260869,16.304347826086957,55.07246376811594,38.04347826086957,34.05797101449276,57.065217391304344,16.304347826086957
2003-01-01,0.12244386775143438,0.003221045351147425,0.9499465319067028,-0.002544371545142408,-0.00020524884959038502,-0.006222661447829543,5.44,0.18704120261151025,6.064491176470589,1.25,0.05005346809329724,0.8918869042890576,0.39493465154131036,0.4108219487689055,3.768986927475561e-06,52.17391304347826,25.0,9.782608695652174,50.0,79.34782608695652,31.521739130434785,17.391304347826086,9.090909090909093,42.934782608695656,43.47826086956522,8.695652173913048,15.217391304347828,79.34782608695652,94.56521739130434,89.13043478260869,28.98550724637681,53.623188405797094,28.223814229249015,49.45652173913044,89.13043478260869
2003-04-01,0.11689578842483761,-0.0029963922281611944,0.9491647540963136,-0.0007388193457098753,-0.002406683551078155,-0.002392146989454159,4.74,0.10430199520474859,6.064491176470589,1.2467,0.05083524590368636,0.8910833847375637,0.4116343114893505,0.4334708991219154,4.977554653876707e-06,63.04347826086957,93.47826086956522,7.608695652173914,71.73913043478261,39.130434782608695,91.30434782608695,34.78260869565217,21.590909090909093,42.934782608695656,44.565217391304344,6.521739130434778,16.30434782608695,68.4782608695652,76.08695652173914,91.30434782608695,54.71014492753623,67.39130434782608,35.96837944664031,41.847826086956516,91.30434782608695
2003-07-01,0.11455630412757276,-0.003761037937280971,0.9557984377000897,-0.00012198949874519422,-0.0021103597832576827,-0.0021235304252585673,4.07,0.08267879706848613,6.064491176470589,1.0167,0.04420156229991036,0.8940056345242666,0.41616230974247964,0.4432321511719825,-2.4068949806609574e-06,69.56521739130434,94.56521739130434,14.130434782608695,82.6086956521739,46.73913043478261,94.56521739130434,57.608695652173914,26.136363636363637,42.934782608695656,47.82608695652174,13.043478260869568,11.956521739130432,66.30434782608697,71.73913043478262,68.47826086956522,59.42028985507246,74.63768115942028,43.626482213438734,40.7608695652174,68.47826086956522
2003-10-01,0.1142925421105574,6.5083986345518514e-06,0.9786417964276449,-0.002520918900369126,-0.003713090478428117,-0.0024130123787504403,3.97,0.0999724647942728,6.064491176470589,0.9967,0.02135820357235506,0.8923864420077573,0.4295729096675887,0.45283282711121664,-1.1351918375012973e-05,70.65217391304348,59.78260869565217,70.65217391304348,51.08695652173913,17.391304347826086,90.21739130434783,63.04347826086957,23.863636363636363,42.934782608695656,51.08695652173913,69.56521739130434,14.130434782608692,61.95652173913043,64.13043478260869,25.0,67.02898550724638,52.89855072463769,45.23221343873518,52.44565217391304,25.0
2004-01-01,0.11511049197042661,0.0022967589861943023,0.9544827927276325,-0.0016636737242094854,-0.0007353447199470273,-0.005074940089275976,4.32,0.015021122008485932,6.064491176470589,1.0033,0.0455172072723676,0.8925539214777176,0.4463241932013012,0.43389738142688034,6.1190905456275586e-06,68.4782608695652,33.69565217391305,13.043478260869565,65.21739130434783,73.91304347826086,51.08695652173913,45.652173913043484,51.13636363636363,42.934782608695656,50.0,11.956521739130432,13.043478260869568,56.52173913043479,73.91304347826086,94.56521739130434,38.405797101449274,63.405797101449274,47.430830039525695,38.85869565217391,94.56521739130434
2004-04-01,0.11059566353397636,-0.0015894325087490349,0.9521413851029562,0.0014830978828395225,-0.0015432072803217357,-0.0018090111651428112,4.29,0.0890848572958911,6.064491176470589,1.01,0.047858614897043794,0.9068124522205537,0.45523875992778,0.44640267695934993,1.1468958495025212e-06,72.82608695652173,79.34782608695652,11.956521739130435,91.30434782608695,52.17391304347826,96.73913043478261,46.7391304347826,25.0,42.934782608695656,48.91304347826087,10.869565217391308,7.608695652173914,48.91304347826087,70.65217391304348,81.52173913043478,54.71014492753623,80.07246376811594,40.89673913043478,34.51086956521739,81.52173913043478
