periodo,inflacion_yoy_avg,PIB_USD_2018,ingresos_mmxn_USD_2018,gasto_mmxn_USD_2018,balance_mmxn_USD_2018,rfsp_sin_ingresos_rec_miles_USD_2018,balance_tradicional_miles_USD_2018,ingresos_totales_miles_USD_2018,gasto_totales_miles_USD_2018,deuda_total_economia_musd_2018,deuda_bruta_publica_musd_2018,activos_fx_publico_musd_2018,posicion_neta_publico_musd_2018,deuda_publica_lp_musd_2018,deuda_publica_cp_musd_2018,deuda_gob_federal_musd_2018,deuda_organismos_empresas_musd_2018,deuda_banca_desarrollo_musd_2018,endeudamiento_neto_total_musd_2018,endeudamiento_neto_lp_musd_2018,endeudamiento_neto_cp_musd_2018,endeudamiento_neto_gf_musd_2018,endeudamiento_neto_oye_musd_2018,endeudamiento_neto_bd_musd_2018,fuente_bancario_musd_2018,fuente_comercio_ext_musd_2018,fuente_capitales_musd_2018,fuente_ofis_musd_2018,fuente_pidiregas_musd_2018,acreedor_eeuu_musd_2018,acreedor_ofis_musd_2018,acreedor_japon_musd_2018,acreedor_otros_musd_2018,moneda_usd_musd_2018,moneda_canasta_musd_2018,CuentaCorriente_2018,Exportaciones_2018,IngresosTurismo_2018,Remesas_2018,Importaciones_2018,BalanzaBienes_2018,BalanzaServicios_2018,BalanzaIngresoPrimario_2018,BalanzaIngresoSecundario_2018,TasaMXN,TasaUSD,tcn_mean
2011-07-01,3.37,1088704.2922379174,70.84444318833586,76.07530085304442,-4.843251301873125,-6886.634571140407,-4843.251307932148,106687.78434317176,114090.02680526164,221912.88334495903,126052.83920052856,2329.1111831918106,123723.72801733676,122375.2075245024,3677.63167602618,66328.67844942768,50981.7176153742,8742.443135726697,3222.718469159326,2131.8154920085303,1090.9029771507956,1408.175777837422,773.2969067155487,1041.245784606355,30453.52308943546,46134.42021160659,228124.03164999757,71861.51172610745,1322.9698121068052,37914.98840138152,23913.659722341028,8964.067518559266,4983.715820869551,104268.99535170436,10.997901704473398,-4739.046586998613,97855.86891551444,2856.882089499365,7050.901170364077,102167.3052231728,-4279.710972774104,-5411.192880071416,-2331.47409126021,7283.331357107117,4.5,0.0833,12.2842
2011-10-01,3.5,1115996.634711697,78.22563064360364,92.079626257362,-14.154740555911587,-21224.75242807983,-14154.74056248309,105416.83500895336,127602.50040598736,222672.7415645343,128753.12641079248,3084.009203807723,125669.11720698477,125690.4617446142,3062.664666178272,67850.74613333198,52464.98408665154,8437.396190808966,3718.705066271057,4318.121615243224,-599.4165489721674,2032.4865935443715,1929.9664568474711,-243.74798412078545,32236.00268035153,45257.829536205376,230058.9469254576,73803.21788892773,1081.3828442527404,38375.709162406674,25909.614439133107,8726.266306291494,5034.546044070107,107328.9614907024,15.040710453914164,-2704.566834155964,99824.41117500245,3374.2025766654256,6271.177590921497,100572.10590442378,-722.6775643844516,-4081.520569746209,-4415.3949980605685,6515.026298035266,4.5,0.0733,13.6317
2012-01-01,3.88,1095646.9232158328,72.87734699464036,77.8091882542602,-4.190406935042807,-6400.251922623742,-4190.406914914348,108438.55054063605,113514.52200721973,226025.73148414984,133158.19923836968,5434.590888247505,127723.6083501222,130148.6475810902,3009.551657279504,70756.026517348,54355.14670821545,8047.02601280625,5139.640309250808,5176.371663980449,-36.73135472964095,3372.57621405359,2102.375174750138,-335.3110795529199,30357.364942888675,44997.11925908569,242703.1961949143,76939.6511093787,1813.8030944789464,42518.192711298754,25568.212141192853,8079.468377013568,4685.007313884534,111953.650044235,14.076686842497132,-5147.501393227836,98546.67037619892,3961.528965168642,6128.046960952346,96673.5032539264,1994.079186820752,-2759.460873963037,-10507.651877930895,6125.532171845346,4.5,0.1033,13.0034
2012-04-01,3.87,1118425.4682881895,69.93171936217246,76.97328500387462,-7.542603845443887,-11329.619335643762,-7542.6038923655715,103023.5690242868,113455.10268024824,229240.99924390757,134030.8658521555,3269.666490245096,130761.19936191042,131141.45694359462,2889.4089085608894,71726.78595328833,54299.57549757875,8004.504401288415,1588.741417039614,1703.4222750078668,-114.68085796825284,1281.5723056012023,328.8981161060802,-21.72900466766896,26800.751893508965,42751.487456295225,250378.82134518892,77236.51528836404,1600.1546316125307,41583.93755397538,25957.16169714345,9256.885215770428,4193.03944617321,112025.09073109333,13.608063529247229,-1084.4451631395514,103496.56723890553,3332.9875665769728,7353.866690895816,101995.9720533766,1564.1759135897498,-3416.108655187146,-6704.075293409712,7471.562871867556,4.5,0.1533,13.5419
2012-07-01,4.59,1116185.480708145,72.33776086182895,74.86625113392071,-2.7612913323971062,-7285.516653181567,-2761.291393523788,100867.45939097118,108704.53394545808,229193.8296259153,135106.9810247084,2582.7608126922523,132524.22021201614,132431.5768733603,2675.404151348106,72088.09789158592,55188.66377996093,7830.219353161534,484.7387896415348,686.4128499701967,-201.674060328662,-288.0901934380724,952.5439501655492,-179.71496708594202,25230.233391344453,43803.9118012017,256656.6800794897,77926.26696520638,1352.1775973390302,43071.50502956392,25949.09325968822,9251.660956052228,3994.1514873325473,112784.19712823212,13.983900174468438,-3565.3890210356835,99672.63449649104,3008.229999486036,6149.0342225521335,100963.31789281286,-1234.460915911852,-5080.6454070097525,-3507.879890710615,6257.597192596536,4.5,0.1433,13.1721
2012-10-01,4.11,1146959.8508046337,76.94366578792533,96.23454075752883,-19.057057477929792,-24553.867142370964,-19057.05739744088,108562.90838010445,134234.6733139209,231608.8901794822,136447.36440294597,4413.816004858034,132033.5483980879,133056.3121558893,3391.0522470566543,73213.23693034802,54333.23935756396,8900.888115033973,2740.8636145239648,2008.1940337814867,732.6695807424783,2001.3567972851488,-456.24987667625214,1195.756693915068,26314.352723135307,40458.9671206066,260407.98146743735,79241.4004412858,1088.8570439326445,43550.4832925856,27467.67513974771,8569.227881179875,3838.8369737850594,114861.66614619052,19.10085116437212,-9510.05226610379,103772.03428701949,3631.8809216582895,5843.70932288221,105802.49383571504,-1972.3253484838815,-4992.053341603576,-8394.424973371191,5848.7513973548575,4.5,0.16,12.9442
2013-01-01,3.69,1092633.9566782592,76.046254873813,74.1364973073368,3.4301676445326765,-1238.0046007320568,3430.1677128417164,107000.26837439276,107541.6361277244,229620.50458926556,136632.67743026954,2579.5332177736195,134053.1442124959,133582.93932239723,3049.738107872314,72642.33179712095,55612.26732929352,8378.078303855082,1675.7669910804734,2004.3699487586416,-328.6029576781681,357.46380955319137,2008.909858042353,-690.606676515071,25988.17022921575,38737.7488009723,263765.5946843727,81937.1474970512,1806.8838949171895,44256.76518687095,27465.47832875112,7837.82909909341,3634.5216608456326,116326.41985577514,17.078706353010052,-8980.995054396324,95368.4496561577,4198.6376605352825,5671.165277751204,96577.7171878596,-1100.1933239946254,-3031.839589024574,-10450.602978124874,5601.64083674775,4.3667,0.1433,12.6593
2013-04-01,4.46,1137725.5302060854,79.72958446193559,90.0079237299303,-10.038868077407736,-13715.002787308244,-10038.868103399456,112554.03205327711,124756.76684563947,233524.645125299,135404.2515693077,2643.1754129586934,132761.076156349,132385.69027623953,3018.561293068155,73367.00062574071,53633.54167596803,8403.709267598959,-1191.842053481006,-1156.3486638367558,-35.49338964425004,701.2108685815252,-2040.32884677541,147.27592471287898,23025.687262384454,36870.598089379215,265461.87847723503,83129.08952810877,1479.36015191019,42955.44197073845,27745.225969531773,7390.308066323343,3164.7551022431,111734.70556185224,18.93702191385292,-10012.90677638875,104600.1955411946,3556.968272857498,6811.3824994992965,105572.56941396496,-888.4723020801182,-4445.079467572029,-11430.9487896613,6751.593782924696,4.0,0.1167,12.4816
2013-07-01,3.44,1127815.9636963138,73.47986038637079,83.42189859363684,-9.398756262120145,-11414.878606005535,-9398.756274868005,107092.18293042223,117682.69689234984,243108.76696163745,139398.969100943,2056.475845049293,137342.49325589373,136000.13879211317,3398.830308829833,74078.11953064725,56489.74580925847,8831.103761037293,4008.874014787827,3613.228167381055,395.6458474067725,782.25082126018,2811.711675096443,414.9115184312045,21934.1279054865,34856.9803555508,274377.1662931848,82662.75185790828,1192.4266440205747,43057.37555679383,27505.566232747537,8448.911594513504,2785.988237248179,115007.12277175311,17.866488212601805,-6022.965271648744,103654.95097076512,3321.65300367616,6307.043411504493,104701.73021813546,-984.3319705761338,-4804.125423866213,-6487.210132332656,6252.702255126258,3.9321,0.0833,12.9177
2013-10-01,3.65,1157192.714370902,91.20702659453283,104.57157843543474,-15.291453759607368,-27188.77539790299,-15291.453803225088,107112.62244912155,134205.33104890285,258113.21308698505,144159.56118275327,3738.354577871792,140421.20660488147,140377.24110155614,3782.320081197116,77401.16137129742,57217.45665812084,9540.943153335002,5118.335217612257,4723.074619424103,395.26059818815406,3438.5312917800725,897.754131316122,782.0497945160627,22111.431184589623,33824.270202195614,289913.4616421917,84551.1317742794,1001.8773111426812,46518.50504037079,29328.31493897404,7588.01694221111,2573.0542738808344,119722.46210518896,17.90790013494892,-9244.27368865882,105964.41328497922,3958.45851741344,6100.496040083953,104039.82444924251,1977.5768249152015,-3884.104948223012,-13369.025078247649,6031.279512896638,3.5652,0.0867,13.0299
